,well_index,area,eccentricity,major_axis_length,cell_number,day,major_axis_length_um
30,30,5074.0,0.9407320755159884,157.58281256749856,300,1,252.1325001079977
31,31,4885.0,0.667559860841403,92.61943894699742,300,1,148.19110231519588
32,32,5162.0,0.9151377791533968,163.3133855158612,300,1,261.30141682537794
33,33,4507.0,0.8962839477665971,139.06724400862387,300,1,222.5075904137982
34,34,1794.0,0.7455095834545059,59.13076495909301,300,1,94.60922393454882
35,35,3018.0,0.7919934692743971,79.76635716845828,300,1,127.62617146953326
36,36,2130.0,0.6017305321993662,58.696228269766976,300,1,93.91396523162717
37,37,3682.0,0.8560118008208268,100.05831414136671,300,1,160.09330262618676
38,38,1981.0,0.774470146461689,63.65657492308291,300,1,101.85051987693265
39,39,,,,300,1,
40,40,4310.0,0.7858701028676537,97.1727350808202,300,1,155.47637612931234
41,41,2749.0,0.5098658059535806,63.95386073069379,300,1,102.32617716911007
42,42,44409.0,0.7006797148058665,308.8322915960618,300,1,494.1316665536989
43,43,4981.0,0.7849599518065935,103.48480202598324,300,1,165.5756832415732
44,44,2206.0,0.6912832021361861,63.82902139849534,300,1,102.12643423759255
45,45,2295.0,0.7704337016037389,70.47412016656155,300,1,112.75859226649848
46,46,2908.0,0.9039212774986798,105.59487769925012,300,1,168.9518043188002
47,47,6886.0,0.9175665881852328,181.15965118256,300,1,289.855441892096
48,48,3369.0,0.703842528843697,78.5224030634997,300,1,125.63584490159951
49,49,3438.0,0.7340583112316789,81.87675096458254,300,1,131.00280154333208
50,50,2960.0,0.7413441090151095,75.70950028993154,300,1,121.13520046389047
51,51,2226.0,0.8102321713495706,73.94337320717823,300,1,118.30939713148517
52,52,3504.0,0.7684242269658496,88.31954324965277,300,1,141.31126919944444
53,53,2241.0,0.8743322169477412,77.93184171899179,300,1,124.69094675038687
54,54,2523.0,0.5417172278954876,65.08598150527736,300,1,104.13757040844378
55,55,3563.0,0.8294074165645929,94.60519867196363,300,1,151.36831787514183
56,56,2185.0,0.7154950210091389,63.36640388857123,300,1,101.38624622171398
57,57,2972.0,0.7185316623572963,74.90372689863793,300,1,119.8459630378207
0,0,49305.0,0.5890127294956461,280.4404766191345,100+cond,4,448.7047625906152
1,1,27428.0,0.7637971186883628,233.1413685454921,100+cond,4,373.0261896727874
2,2,28060.0,0.4193147597107557,198.53639858066222,100+cond,4,317.6582377290596
3,3,24568.0,0.708213051041912,247.60857349034455,100+cond,4,396.1737175845513
4,4,26605.0,0.6997595200617602,219.27762152932775,100+cond,4,350.8441944469244
5,5,28950.0,0.6944078749589935,226.78049374751134,100+cond,4,362.8487899960182
6,6,34843.0,0.7675346794707437,265.291189993388,100+cond,4,424.46590398942084
7,7,23766.0,0.8283398776172248,234.8574657765814,100+cond,4,375.77194524253025
8,8,31475.0,0.8516812869674769,415.48826530547376,100+cond,4,664.7812244887581
9,9,784.0,0.921753525369188,60.867585309160255,100+cond,4,97.38813649465641
10,10,27715.0,0.8124565208853033,248.96785460104363,100+cond,4,398.34856736166984
11,11,24967.0,0.6321085966024403,203.6084584482039,100+cond,4,325.7735335171262
12,12,33397.0,0.7228911825566193,249.73544325309152,100+cond,4,399.57670920494644
13,13,30405.0,0.7904535512612099,252.27084849132788,100+cond,4,403.63335758612465
14,14,29753.0,0.6518993529052542,224.49168030928126,100+cond,4,359.18668849485005
15,15,36550.0,0.8131254814302886,283.7729415176218,100+cond,4,454.0367064281949
16,16,17838.0,0.8971242959956407,304.09637713056384,100+cond,4,486.55420340890214
17,17,38247.0,0.8002726744233194,285.7931556046604,100+cond,4,457.2690489674567
18,18,21790.0,0.27364876607829186,170.04812936648898,100+cond,4,272.0770069863824
19,19,29762.0,0.5943072215110794,217.80832410932152,100+cond,4,348.49331857491444
20,20,33290.0,0.8186235925712095,273.3400760983825,100+cond,4,437.34412175741204
21,21,29301.0,0.6643150323418052,224.1443776729138,100+cond,4,358.6310042766621
22,22,25900.0,0.6489301389360442,209.24308118975483,100+cond,4,334.78892990360777
23,23,142896.0,0.6411481659344909,487.9032554528054,100+cond,4,780.6452087244887
24,24,30333.0,0.6327549480780403,242.8523591519469,100+cond,4,388.56377464311504
25,25,33169.0,0.8150277719567803,272.55012421766475,100+cond,4,436.0801987482636
26,26,4342.0,0.8461279443698445,139.03418960232514,100+cond,4,222.45470336372023
27,27,,,,100+cond,4,
28,28,176110.0,0.5764336361271509,525.6247168924765,100+cond,4,840.9995470279624
29,29,24550.0,0.76262047732626,220.89447271769862,100+cond,4,353.4311563483178
30,30,39177.0,0.7733323719271634,281.2673148229092,100+cond,4,450.02770371665474
31,31,29579.0,0.9313648543994548,384.2822643389663,100+cond,4,614.8516229423461
32,32,28931.0,0.6991487680102155,227.86891697991402,100+cond,4,364.59026716786246
33,33,65624.0,0.4344982604502001,306.97900743969126,100+cond,4,491.16641190350606
34,34,132161.0,0.4396847137773949,434.4472213853936,100+cond,4,695.1155542166298
35,35,138579.0,0.3931538001586994,438.5568153468057,100+cond,4,701.6909045548891
36,36,34362.0,0.5012606966550374,225.375608271138,100+cond,4,360.6009732338208
37,37,17606.0,0.890625074948221,237.4160769674876,100+cond,4,379.8657231479802
38,38,70806.0,0.3943792595530155,319.25604084898674,100+cond,4,510.8096653583788
39,39,63488.0,0.9205223747228978,491.4700420242508,100+cond,4,786.3520672388013
40,40,29434.0,0.6161745670326441,218.46186085361884,100+cond,4,349.5389773657902
41,41,,,,100+cond,4,
42,42,29739.0,0.6632337526991476,226.17443873374788,100+cond,4,361.8791019739966
43,43,24707.0,0.6345758739392637,202.27234947118941,100+cond,4,323.6357591539031
44,44,243477.0,0.5760868141570231,617.1481068226325,100+cond,4,987.436970916212
45,45,82451.0,0.4943038254470717,348.42046266196746,100+cond,4,557.4727402591479
0,0,11669.0,0.5395910490756705,133.25832046695845,100,4,213.21331274713353
1,1,1466.0,0.8202394148022988,65.35548437899617,100,4,104.56877500639388
2,2,5788.0,0.6553790920850529,99.24472247466393,100,4,158.7915559594623
3,3,16176.0,0.7615128958332489,178.5639530986079,100,4,285.70232495777265
4,4,11486.0,0.6831202126580858,141.6657586673905,100,4,226.6652138678248
5,5,6886.0,0.7618581307207999,117.6733160650238,100,4,188.2773057040381
6,6,31103.0,0.4560145401499126,252.19622638269016,100,4,403.51396221230425
7,7,14968.0,0.886700894817505,207.22829332973703,100,4,331.56526932757924
8,8,15608.0,0.690315183649162,166.0951678102918,100,4,265.7522684964669
9,9,21905.0,0.6225358560436838,189.02231009019374,100,4,302.43569614431
10,10,15447.0,0.6741655714292625,168.41668260155154,100,4,269.4666921624825
11,11,16397.0,0.7946246906219344,186.2346343700479,100,4,297.97541499207665
12,12,14720.0,0.5589895591764059,151.30313830727883,100,4,242.08502129164614
13,13,21314.0,0.6578412614009465,190.0221746136397,100,4,304.0354793818235
14,14,20577.0,0.6963501608570152,191.92047007116932,100,4,307.07275211387093
15,15,17288.0,0.7149985845085695,178.9021802621191,100,4,286.24348841939053
16,16,10924.0,0.7105051287972952,143.08797089785818,100,4,228.94075343657312
17,17,11482.0,0.8200276880452152,161.6926334051922,100,4,258.7082134483075
18,18,24332.0,0.8055396448709092,229.83716340289945,100,4,367.7394614446391
19,19,,,,100,4,
20,20,17681.0,0.8371185195026104,204.96823661031914,100,4,327.94917857651063
21,21,9707.0,0.3703245649445667,115.68237475157648,100,4,185.09179960252237
22,22,16578.0,0.7801028087089695,186.95925704004227,100,4,299.13481126406765
23,23,9969.0,0.4675679855967663,122.19298796826924,100,4,195.5087807492308
24,24,11770.0,0.5721012953217608,137.10210679173795,100,4,219.36337086678074
25,25,19654.0,0.7656834397915232,198.3432569338197,100,4,317.3492110941115
26,26,16030.0,0.6330689121400025,163.00545023296763,100,4,260.8087203727482
27,27,13586.0,0.8560652211931309,214.8710974343797,100,4,343.7937558950075
28,28,18240.0,0.6499530142609047,176.10167424593345,100,4,281.76267879349354
29,29,15448.0,0.3280699036799994,144.46569927453112,100,4,231.1451188392498
30,30,9847.0,0.7109077522253184,134.29446386625554,100,4,214.87114218600888
31,31,18681.0,0.4534564848332566,163.48957403874408,100,4,261.58331846199053
32,32,13812.0,0.8075672769319571,180.33053679884773,100,4,288.52885887815637
33,33,14823.0,0.6770376186151849,160.39741310537292,100,4,256.63586096859666
34,34,15169.0,0.7520960744680337,171.45098342398546,100,4,274.32157347837676
35,35,17734.0,0.8233582932713607,205.6530629557175,100,4,329.044900729148
36,36,14452.0,0.5909686772941328,151.54010311832693,100,4,242.46416498932308
37,37,6739.0,0.653945160547074,113.54830483122463,100,4,181.6772877299594
38,38,15540.0,0.7891689066011885,181.00459218633011,100,4,289.6073474981282
39,39,18171.0,0.6767305741675153,177.5419788306255,100,4,284.06716612900084
40,40,7787.0,0.6321271523345358,114.02570518073793,100,4,182.4411282891807
41,41,7640.0,0.5512710586306029,109.21421140960855,100,4,174.7427382553737
42,42,15502.0,0.7461664441367692,172.75481158493253,100,4,276.40769853589205
