,well_index,area,eccentricity,major_axis_length,chip,day,major_axis_length_um
18,18,1460.0,0.929110029333055,76.6670981759296,Chip_3,1,122.66735708148735
19,19,1939.0,0.6346502194415735,56.78147955463906,Chip_3,1,90.8503672874225
20,20,,,,Chip_3,1,
21,21,1804.0,0.7665228332987487,60.18089389037841,Chip_3,1,96.28943022460545
22,22,1936.0,0.4857736331005302,54.1225846180546,Chip_3,1,86.59613538888738
23,23,1877.0,0.9177786423368992,84.33321259927318,Chip_3,1,134.9331401588371
24,24,2171.0,0.923306606067126,99.15318910425331,Chip_3,1,158.64510256680532
25,25,,,,Chip_3,1,
26,26,37758.0,0.6072860048390575,283.75494389533,Chip_3,1,454.007910232528
27,27,,,,Chip_3,1,
28,28,2163.0,0.607626228566633,60.08950782180087,Chip_3,1,96.1432125148814
29,29,,,,Chip_3,1,
30,30,,,,Chip_3,1,
31,31,1987.0,0.7664814889824305,63.702904181384675,Chip_3,1,101.92464669021548
32,32,796.0,0.9186066940968199,74.87907087836781,Chip_3,1,119.8065134053885
33,33,,,,Chip_3,1,
34,34,2258.0,0.7619192693313752,69.11568559682324,Chip_3,1,110.58509695491719
35,35,,,,Chip_3,1,
36,36,,,,Chip_3,1,
37,37,,,,Chip_3,1,
38,38,730.0,0.9457437471850918,61.69650360819328,Chip_3,1,98.71440577310926
39,39,1271.0,0.7742832739758748,51.2301092676877,Chip_3,1,81.96817482830033
0,0,1307.0,0.8658883576953077,58.598381427265885,Chip_4,1,93.75741028362542
1,1,,,,Chip_4,1,
2,2,,,,Chip_4,1,
3,3,,,,Chip_4,1,
4,4,1607.0,0.5365202640808131,50.24336492684681,Chip_4,1,80.3893838829549
5,5,3154.0,0.8822065713624652,93.46716650436436,Chip_4,1,149.54746640698298
6,6,2534.0,0.77412288434742,77.70397348780868,Chip_4,1,124.32635758049389
7,7,,,,Chip_4,1,
8,8,1616.0,0.7076768810668337,54.15686685744807,Chip_4,1,86.65098697191692
9,9,1211.0,0.8436303932798924,54.52421798502118,Chip_4,1,87.2387487760339
10,10,2122.0,0.7085715171409173,62.40708210670875,Chip_4,1,99.851331370734
11,11,,,,Chip_4,1,
12,12,1720.0,0.8362345005760785,65.21763058821706,Chip_4,1,104.3482089411473
13,13,,,,Chip_4,1,
14,14,,,,Chip_4,1,
15,15,,,,Chip_4,1,
16,16,,,,Chip_4,1,
17,17,2595.0,0.8974588574044924,87.63242520921116,Chip_4,1,140.21188033473786
18,18,1898.0,0.7178614550884045,59.383643795763334,Chip_4,1,95.01383007322134
19,19,2978.0,0.8091479612466446,88.68687053041857,Chip_4,1,141.89899284866974
20,20,2594.0,0.5156594719843605,64.29753471828226,Chip_4,1,102.87605554925163
21,21,1907.0,0.7277179309580339,82.23971865694762,Chip_4,1,131.5835498511162
22,22,3674.0,0.9273759513200288,137.9546680020862,Chip_4,1,220.72746880333796
23,23,2122.0,0.8880897490175275,81.27510911361175,Chip_4,1,130.0401745817788
24,24,1968.0,0.8600548225687009,72.32652116435183,Chip_4,1,115.72243386296293
25,25,,,,Chip_4,1,
26,26,1757.0,0.6196512575436842,53.941254187253705,Chip_4,1,86.30600669960593
27,27,,,,Chip_4,1,
28,28,2963.0,0.8718168974359783,103.50280089043112,Chip_4,1,165.6044814246898
29,29,,,,Chip_4,1,
30,30,1441.0,0.7059915444584068,51.47955168458044,Chip_4,1,82.36728269532871
31,31,56342.0,0.7342438993988549,378.3087097815024,Chip_4,1,605.2939356504038
32,32,3709.0,0.9019172806929524,139.86066841268072,Chip_4,1,223.77706946028917
33,33,,,,Chip_4,1,
34,34,,,,Chip_4,1,
35,35,2078.0,0.8389724640600988,72.93052581324491,Chip_4,1,116.68884130119187
36,36,,,,Chip_4,1,
37,37,,,,Chip_4,1,
38,38,,,,Chip_4,1,
